Station,Lat,Long,Stream,width_bf (m),depth_bf (m),Slope (m/m),d50 (m),NAME,AGE,LITH1,LITH2,LITH3,PROVINCE
74,40.6210,-78.0531,Reeds Run,3.3528,0.405384,0.0365,0.086,Clinton Group,Silurian,Shale,Limestone,Sandstone; ferruginous sandstone,VALLEY AND RIDGE
75,40.6151,-78.0575,Reeds Run,3.6576,0.347472,0.0305,0.0365,Clinton Group,Silurian,Shale,Limestone,Sandstone; ferruginous sandstone,VALLEY AND RIDGE
76,40.6044,-78.0597,Reeds Run,4.572,0.448056,0.0345,0.0385,Clinton Group,Silurian,Shale,Limestone,Sandstone; ferruginous sandstone,VALLEY AND RIDGE
77,40.5968,-78.0613,Reeds Run,5.1816,0.484632,0.0165,0.032,"Bloomsburg and Mifflintown Formations, undivided",Silurian,Shale,Siltstone,Sandstone; limestone; mudstone,VALLEY AND RIDGE
78,40.5926,-78.0572,Reeds Run,6.7056,0.664464,0.015,0.0295,Wills Creek Formation,Silurian,Calcareous shale,Siltstone,Shaly limestone; dolomite,VALLEY AND RIDGE
79,40.5805,-78.0476,Reeds Run,7.9248,0.923544,0.0105,0.0325,Wills Creek Formation,Silurian,Calcareous shale,Siltstone,Shaly limestone; dolomite,VALLEY AND RIDGE
80,41.0042,-77.8176,Marsh Creek,2.4384,0.3048,0.0076,0.052,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone,VALLEY AND RIDGE
81,40.9982,-77.8067,Marsh Creek,3.6576,0.341376,0.0067,0.052,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone,VALLEY AND RIDGE
82,41.0177,-77.7745,Marsh Creek,7.3152,0.505968,0.0067,0.016,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone,VALLEY AND RIDGE
83,41.0321,-77.7314,Marsh Creek,6.7056,0.673608,0.0057,0.037,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone,VALLEY AND RIDGE
84,41.0514,-77.6965,Marsh Creek,12.4968,0.82296,0.0069,0.051,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate,VALLEY AND RIDGE
85,41.0708,-77.6555,Marsh Creek,16.764,0.905256,0.0058,0.045,Lock Haven Formation,Devonian,Mudstone,Siltstone,Sandstone; conglomerate,VALLEY AND RIDGE
86,41.0581,-77.6000,Marsh Creek,16.764,1.496568,0.0024,0.0235,"Keyser Formation through Mifflintown Formation, undivided",Devonian and Silurian,Limestone,Shale,Siltstone; sandstone; mudstone; dolomite,VALLEY AND RIDGE
87,40.7307,-77.8761,Slab Cabin Creek,2.4384,0.3048,0.037,0.127,Bald Eagle Formation,Ordovician,Sandstone,Siltstone,Shale; conglomerate,VALLEY AND RIDGE
88,40.7446,-77.8737,Slab Cabin Creek,4.8768,0.530352,0.0042,0.037,Bellefonte Formation,Ordovician,Dolomite,Sandstone, ,VALLEY AND RIDGE
89,40.7571,-77.8517,Slab Cabin Creek,5.1816,0.62484,0.0052,0.082,Bellefonte Formation,Ordovician,Dolomite,Sandstone, ,VALLEY AND RIDGE
90,40.7840,-77.8346,Slab Cabin Creek,7.62,0.633984,0.0042,0.035,Axemann Formation,Ordovician,Limestone, , ,VALLEY AND RIDGE
91,40.8077,-77.8266,Slab Cabin Creek,8.8392,0.67056,0.0038,0.025,Bellefonte Formation,Ordovician,Dolomite,Sandstone, ,VALLEY AND RIDGE
92,40.5593,-78.4515,Little Juniata River,2.1336,0.3048,0.05,0.127,Rockwell Formation,Mississippian and Devonian,Argillaceous sandstone,Shale,Carbonaceous shale; conglomerate; diamictite,APPALACHIAN PLATEAUS
93,40.5486,-78.4284,Little Juniata River,4.8768,0.4572,0.0285,0.071,Irish Valley Member of Catskill Formation,Devonian,Siltstone,Mudstone,Sandstone,APPALACHIAN PLATEAUS
94,40.5381,-78.4051,Little Juniata River,9.7536,0.79248,0.01,0.058,"Brallier and Harrell Formations, undivided",Devonian,Siltstone,Shale,Black shale,VALLEY AND RIDGE
95,40.5697,-78.3530,Little Juniata River,16.1544,1.12776,0.0027,0.043,Hamilton Group,Devonian,Shale,Siltstone,Black shale; argillaceous limestone; sandstone; limestone; b,VALLEY AND RIDGE
96,40.5929,-78.3306,Little Juniata River,24.384,1.524,0.0042,0.062,"Keyser and Tonoloway Formations, undivided",Devonian and Silurian,Limestone,Shale, ,VALLEY AND RIDGE
97,40.6285,-78.2962,Little Juniata River,28.956,1.88976,0.0038,0.045,Wills Creek Formation,Silurian,Calcareous shale,Siltstone,Shaly limestone; dolomite,VALLEY AND RIDGE
98,40.6651,-78.2267,Little Juniata River,33.528,2.16408,0.0027,0.0465,Bald Eagle Formation,Ordovician,Sandstone,Siltstone,Shale; conglomerate,VALLEY AND RIDGE
99,40.5835,-78.0942,Little Juniata River,39.624,2.4384,0.003,0.058,"Bloomsburg and Mifflintown Formations, undivided",Silurian,Shale,Siltstone,Sandstone; limestone; mudstone,VALLEY AND RIDGE
100,40.7270,-78.1055,Warriors Mark Creek,1.9812,0.42672,0.015,0.033,"Bellefonte and Axemann Formations, undivided",Ordovician,Dolomite,Limestone,Sandstone,VALLEY AND RIDGE
101,40.7178,-78.1100,Warriors Mark Creek,3.048,0.603504,0.0125,0.056,"Nittany and Stonehenge/Larke Formations, undivided",Ordovician,Dolomite,Limestone,Chert,VALLEY AND RIDGE
102,40.7001,-78.1198,Warriors Mark Creek,4.2672,0.64008,0.0058,0.048,Warrior Formation,Cambrian,Limestone,Dolomite,Sandstone,VALLEY AND RIDGE
103,40.6847,-78.1181,Warriors Mark Creek,6.096,0.646176,0.0084,0.055,Warrior Formation,Cambrian,Limestone,Dolomite,Sandstone,VALLEY AND RIDGE
104,40.6716,-78.1092,Warriors Mark Creek,6.7056,0.694944,0.0095,0.029,"Lower members of Gatesburg Formation, undivided",Cambrian,Sandstone,Dolomite,Limestone,VALLEY AND RIDGE
105,40.6551,-78.1091,Warriors Mark Creek,7.62,0.73152,0.0047,0.02,"Lower members of Gatesburg Formation, undivided",Cambrian,Sandstone,Dolomite,Limestone,VALLEY AND RIDGE
106,40.6427,-78.1016,Warriors Mark Creek,9.144,0.920496,0.0105,0.0385,Bellefonte Formation,Ordovician,Dolomite,Sandstone, ,VALLEY AND RIDGE
107,40.7863,-77.3240,Honey Creek,1.524,0.18288,0.041,0.074,Reedsville Formation,Ordovician,Shale,Siltstone,Sandstone; black shale,VALLEY AND RIDGE
108,40.7807,-77.3421,Honey Creek,3.048,0.27432,0.03,0.091,Reedsville Formation,Ordovician,Shale,Siltstone,Sandstone; black shale,VALLEY AND RIDGE
109,40.7646,-77.3751,Honey Creek,6.4008,0.554736,0.011,0.052,Reedsville Formation,Ordovician,Shale,Siltstone,Sandstone; black shale,VALLEY AND RIDGE
110,40.7293,-77.4549,Honey Creek,7.9248,0.585216,0.0057,0.058,Reedsville Formation,Ordovician,Shale,Siltstone,Sandstone; black shale,VALLEY AND RIDGE
111,40.7164,-77.4886,Honey Creek,11.5824,0.79248,0.0069,0.08,Reedsville Formation,Ordovician,Shale,Siltstone,Sandstone; black shale,VALLEY AND RIDGE
112,40.7099,-77.5239,Honey Creek,12.8016,0.886968,0.0072,0.054,Reedsville Formation,Ordovician,Shale,Siltstone,Sandstone; black shale,VALLEY AND RIDGE
113,40.7022,-77.5396,Honey Creek,13.716,0.67056,0.003,0.0335,"Coburn Formation through Nealmont Formation, undivided",Ordovician,Limestone,Calcareous shale,Shaly limestone; metabentonite,VALLEY AND RIDGE
114,40.6792,-77.5722,Honey Creek,18.8976,1.03632,0.0042,0.031,"Coburn Formation through Nealmont Formation, undivided",Ordovician,Limestone,Calcareous shale,Shaly limestone; metabentonite,VALLEY AND RIDGE
115,41.0503,-77.9157,Beech Creek,10.668,0.603504,0.005,0.068,Mauch Chunk Formation,Mississippian,Shale,Siltstone,Sandstone; conglomerate; limestone,APPALACHIAN PLATEAUS
116,41.0826,-77.8661,Beech Creek,18.288,0.722376,0.0095,0.069,Burgoon Sandstone,Mississippian,Sandstone,Conglomerate,Shale; coal,APPALACHIAN PLATEAUS
117,41.1064,-77.7535,Beech Creek,19.5072,0.627888,0.0064,0.145,Huntley Mountain Formation,Mississippian and Devonian,Sandstone,Siltstone,Shale,APPALACHIAN PLATEAUS
118,41.0943,-77.6428,Beech Creek,32.9184,0.786384,0.0076,0.091,Catskill Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate; mudstone,VALLEY AND RIDGE
119,41.0656,-77.5822,Beech Creek,35.052,1.423416,0.0027,0.0443,"Keyser Formation through Mifflintown Formation, undivided",Devonian and Silurian,Limestone,Shale,Siltstone; sandstone; mudstone; dolomite,VALLEY AND RIDGE
